cr286_balancingfr5id,cr286_end_date1,cr286_fr_balance,cr286_imbalance,importsequencenumber,cr286_negative_imbalance_settlement_price,cr286_positive_imbalance_settlement_price,cr286_start_date1,statuscode,statecode,cr286_system_trend,timezoneruleversionnumber,utcconversiontimezonecode,versionnumber,owningbusinessunit,createdonbehalfby.azureactivedirectoryobjectid,createdby.azureactivedirectoryobjectid,modifiedonbehalfby.azureactivedirectoryobjectid,modifiedby.azureactivedirectoryobjectid
21be44f6-fba0-eb11-b1ac-000d3abf81e0,1/3/2021 1:00:00 AM,6518,,,4515,4085,1/3/2021 12:30:00 AM,Active,Active,BAISSE,4,,4547662,b0ad65f1-4c00-eb11-a813-000d3a44ad35,,8ba26ba9-40e1-4648-b850-9a74edace74b,,8ba26ba9-40e1-4648-b850-9a74edace74b
6ccb71f4-fba0-eb11-b1ac-000d3abf81b4,1/3/2021 1:30:00 AM,6517,,,6806,6158,1/3/2021 1:00:00 AM,Active,Active,HAUSSE,4,,4547661,b0ad65f1-4c00-eb11-a813-000d3a44ad35,,8ba26ba9-40e1-4648-b850-9a74edace74b,,8ba26ba9-40e1-4648-b850-9a74edace74b
20be44f6-fba0-eb11-b1ac-000d3abf81e0,1/3/2021 2:00:00 AM,6516,,,4214,3812,1/3/2021 1:30:00 AM,Active,Active,BAISSE,4,,4547660,b0ad65f1-4c00-eb11-a813-000d3a44ad35,,8ba26ba9-40e1-4648-b850-9a74edace74b,,8ba26ba9-40e1-4648-b850-9a74edace74b
1fbe44f6-fba0-eb11-b1ac-000d3abf81e0,1/3/2021 2:30:00 AM,6515,,,4769,4315,1/3/2021 2:00:00 AM,Active,Active,BAISSE,4,,4547659,b0ad65f1-4c00-eb11-a813-000d3a44ad35,,8ba26ba9-40e1-4648-b850-9a74edace74b,,8ba26ba9-40e1-4648-b850-9a74edace74b
1ebe44f6-fba0-eb11-b1ac-000d3abf81e0,1/3/2021 3:00:00 AM,6514,,,3931,3557,1/3/2021 2:30:00 AM,Active,Active,BAISSE,4,,4547658,b0ad65f1-4c00-eb11-a813-000d3a44ad35,,8ba26ba9-40e1-4648-b850-9a74edace74b,,8ba26ba9-40e1-4648-b850-9a74edace74b
6bcb71f4-fba0-eb11-b1ac-000d3abf81b4,1/3/2021 3:30:00 AM,6513,,,6031,5457,1/3/2021 3:00:00 AM,Active,Active,HAUSSE,4,,4547657,b0ad65f1-4c00-eb11-a813-000d3a44ad35,,8ba26ba9-40e1-4648-b850-9a74edace74b,,8ba26ba9-40e1-4648-b850-9a74edace74b
6acb71f4-fba0-eb11-b1ac-000d3abf81b4,1/3/2021 4:00:00 AM,6512,,,3742,3386,1/3/2021 3:30:00 AM,Active,Active,BAISSE,4,,4547656,b0ad65f1-4c00-eb11-a813-000d3a44ad35,,8ba26ba9-40e1-4648-b850-9a74edace74b,,8ba26ba9-40e1-4648-b850-9a74edace74b
1dbe44f6-fba0-eb11-b1ac-000d3abf81e0,1/3/2021 4:30:00 AM,6511,,,5771,5221,1/3/2021 4:00:00 AM,Active,Active,HAUSSE,4,,4547655,b0ad65f1-4c00-eb11-a813-000d3a44ad35,,8ba26ba9-40e1-4648-b850-9a74edace74b,,8ba26ba9-40e1-4648-b850-9a74edace74b
1cbe44f6-fba0-eb11-b1ac-000d3abf81e0,1/3/2021 5:00:00 AM,6510,,,5992,5422,1/3/2021 4:30:00 AM,Active,Active,HAUSSE,4,,4547654,b0ad65f1-4c00-eb11-a813-000d3a44ad35,,8ba26ba9-40e1-4648-b850-9a74edace74b,,8ba26ba9-40e1-4648-b850-9a74edace74b
1bbe44f6-fba0-eb11-b1ac-000d3abf81e0,1/3/2021 5:30:00 AM,6509,,,5271,4769,1/3/2021 5:00:00 AM,Active,Active,HAUSSE,4,,4547653,b0ad65f1-4c00-eb11-a813-000d3a44ad35,,8ba26ba9-40e1-4648-b850-9a74edace74b,,8ba26ba9-40e1-4648-b850-9a74edace74b
